Location,Land Area,Bedrooms,Road Access,Land Area x Road Access,Facing,Price
"""Bhaisepati, L""",4.1,4,12,49.2,NE,38000000
"""Sitapaila, K""",6.2,5,20,124,W,47000000
"""Imadol, L""",4,4,13,52,S,34000000
"""Attarkhel, K""",3.2,8,13,41.6,E,30000000
"""Syuchatar, K""",3.2,4,14,44.8,N,22000000
"""Bhaisepati, L""",6,4,13,78,S,50000000
"""Lazimpat, K""",5.2,6,15,78,W,60000000
"""Budhanilkantha, K""",9.2,4,20,184,W,62000000
"""Lambagar, K""",4,6,11,44,S,26000000
"""Baluwakhani, K""",3.1,6,16,49.6,W,27500000
"""Mandikhatar, K""",4,4,20,80,S,42500000
"""Danchhi, K""",3.1,2,20,62,NE,12000000
"""Dhapasi, K""",9,6,12,108,E,47000000
"""Jagdol, K""",3.2,5,13,41.6,E,9000000
"""Bhaisepati, L""",4.2,5,13,54.6,SE,45000000
"""Mandikhatar, K""",3.1,6,13,40.3,W,26500000
"""Mandikhatar, K""",5,6,13,65,E,38500000
"""Pepsicola, K""",7,5,20,140,S,67500000
"""Bhaisepati, L""",4.2,6,20,84,SE,40000000
"""Khumaltar, L""",4.2,4,14,58.8,S,39000000
"""Raniban, K""",4.2,6,14,58.8,SW,31000000
"""Kusunti, L""",4.2,4,11,46.2,W,40000000
"""Sano bharyang, K""",3.3,7,13,42.9,NW,36000000
"""Aakasedhara, K""",5,6,12,60,SW,31500000
"""Hattiban, L""",4.1,7,13,53.3,NE,40000000
"""Nakhipot, L""",6.94,5,13,90.22,W,32500000
"""Tokha, K""",2.2,3,13,28.6,NW,10000000
"""Dharmasthali, K""",5,8,36,180,NE,26500000
"""Bhaisepati, L""",3.5,4,15,52.5,S,45000000
"""Golfutar, K""",4,4,13,52,E,32500000
"""Sitapaila, K""",3,2,13,39,W,14000000
"""Kapan, K""",3,2,13,39,S,13500000
"""Hepali Height, K""",4,4,13,52,NE,33500000
"""Budhanilkantha, K""",5,6,14,70,SW,36000000
"""Yetkha, K""",2.3,8,16,36.8,S,32000000
"""Sitapaila, K""",5,5,13,65,E,65000000
"""Pasikot, K""",4.4,4,15,66,NE,45000000
"""Gothatar, K""",3.3,5,28,92.4,NW,24000000
"""Nakhipot, L""",4,7,12,48,SE,36000000
"""Imadol, L""",3,3,13,39,S,21000000
"""Budhanilkantha, K""",6,4,13,78,W,46000000
"""Ekatabasti, K""",4.1,4,16,65.6,W,36000000
"""Mandikhatar, K""",4.3,5,13,55.9,E,34500000
"""Dhapasi, K""",7,5,13,91,NE,44000000
"""Lolang, K""",3,2,13,39,E,13800000
"""Ekatabasti, K""",3,5,13,39,S,18500000
"""Baluwatar, K""",8,3,10,80,S,80000000
"""Radhe Radhe, B""",2.2,4,24,52.8,N,24000000
"""Mandikhatar, K""",5,6,13,65,E,37800000
"""Pepsicola, K""",3.2,6,20,64,E,24000000
"""Kapan, K""",3.1,2,13,40.3,SE,16800000
"""Balkot, B""",6.52,4,20,130.4,S,28000000
"""Thamel, K""",3,5,13,39,SE,55000000
"""Bafal, K""",4,7,12,48,SW,36500000
"""Sipadol, B""",4,2,13,52,SE,15000000
"""Budhanilkantha, K""",4.5,7,13,58.5,N,50000000
"""Ganesh Chowk, K""",4,5,13,52,E,35000000
"""Chunikhel, K""",4,5,13,52,SW,28000000
"""Baluwatar, K""",6,5,25,150,W,35000000
"""Mhaipi, K""",4,4,20,80,N,33000000
"""Tikathali, L""",2.6,6,12,31.2,SE,22000000
"""Imadol, L""",3.2,7,20,64,NE,28500000
"""Ekatabasti, K""",4.1,2,16,65.6,E,17000000
"""Budhanilkantha, K""",5,5,13,65,W,36000000
"""Dhapasi, K""",3.1,5,12,37.2,E,21000000
"""Harisiddhi, L""",3.2,5,20,64,S,23500000
"""Rudreshwor, K""",6.3,5,14,88.2,E,68000000
"""Baluwa, K""",3.3,2,10,33,SE,6800000
"""Thapathali, K""",7,5,14,98,E,60000000
"""Maijubahal, K""",6.2,5,8,49.6,N,35000000
"""Samakhusi, K""",3,3,12,36,W,32500000
"""Budhanilkantha, K""",3,6,15,45,N,40000000
"""Kusunti, L""",3.2,5,13,41.6,S,24000000
"""Dhapakhel, L""",2.2,6,13,28.6,S,19000000
"""Sundarbasti, K""",3.2,6,12,38.4,E,25500000
"""Baluwakhani, K""",3.2,5,13,41.6,E,19500000
"""Basundhara, K""",5.2,4,16,83.2,N,35000000
"""Thankot, K""",2.3,5,13,29.9,SW,16000000
"""Imadol, L""",3.2,5,13,41.6,S,27500000
"""Wasik, K""",5.2,5,14,72.8,S,37500000
"""Khumaltar, L""",4.1,5,13,53.3,SE,31000000
"""Koteshwor, K""",4,5,26,104,E,45000000
"""Gongabu, K""",8,5,10,80,SW,51500000
"""Budhanilkantha, K""",4.2,4,13,54.6,SW,35000000
"""Ochu Height, L""",3,4,13,39,W,23000000
"""Mandikhatar, K""",5,5,16,80,E,39500000
